State FIPS Code,State,State Abbreviation,year,month,day,date,mw,mw_healthinsurance,mw_smallbusiness,mw_youth,source,source_2,source_notes
2,Alaska,AK,1959,7,28,28jul1959,2.00,7.25,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2016,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date."
2,Alaska,AK,1963,9,1,01sep1963,2.00,1.50,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2017,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date."
2,Alaska,AK,1968,2,1,01feb1968,2.00,1.75,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2018,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date."
2,Alaska,AK,1974,5,1,01may1974,3.00,2.10,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2019,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date. In this particular case, it appears that Quester has more data than the Alaska Dept. of Labor, and since Meer and West also has this data, we have decided to use it."
2,Alaska,AK,1975,1,1,01jan1975,3.00,2.50,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2020,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date. In this particular case, it appears that Quester has more data than the Alaska Dept. of Labor, and since Meer and West also has this data, we have decided to use it."
2,Alaska,AK,1976,1,1,01jan1976,3.00,2.60,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2021,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date. In this particular case, it appears that Quester has more data than the Alaska Dept. of Labor, and since Meer and West also has this data, we have decided to use it."
2,Alaska,AK,1978,3,1,01mar1978,3.00,2.80,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2022,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date. In this particular case, it appears that Quester has more data than the Alaska Dept. of Labor, and since Meer and West also has this data, we have decided to use it. It appears that Meer and West have a date change that is different than Quester."
2,Alaska,AK,1979,1,1,01jan1979,3.00,3.15,,,Alaska - Report - Legislative Research Report on the Minimum Wage - 01.14.2023,Need to obtain a copy of Aline Quester,"To find the minimumw wages, we first checked what was available from the first listed source, then we found whether it matched source_2's reported value. If it did, we used source_2's available change date. In this particular case, it appears that Quester has more data than the Alaska Dept. of Labor, and since Meer and West also has this data, we have decided to use it."
2,Alaska,AK,1980,1,1,01jan1980,4.00,3.40,,,Federal - BLS - State Labor Legislation Enacted in 1980 - 01.14.2016,,
2,Alaska,AK,1981,1,1,01jan1981,4.00,3.60,,,Federal - BLS - State Labor Legislation Enacted in 1981 - 01.14.2016,,
